px1,py1,pz1,E1,Q1,px2,py2,pz2,E2,Q2
-42.0205470216,-5.05157615153,-68.9391662788,80.8941568008,1.0,27.3497284232,3.09595712766,-50.5675245376,57.5732428903,-1.0
-42.2425531093,-5.07655090178,-69.2916733505,81.3114495114,1.0,27.3497284232,3.09595712766,-50.5675245376,57.5732428903,-1.0
-27.243260208,-23.4051222062,70.9105299018,79.4877939491,1.0,33.7282720644,29.7014821038,23.2330822349,50.5921105454,-1.0
33.6749209282,29.6534243299,23.1879336551,50.5075965068,-1.0,-27.243260208,-23.4051222062,70.9105299018,79.4877939491,1.0
33.6749209282,29.6534243299,23.1879336551,50.5075965068,-1.0,-27.2865025166,-23.4417981104,71.0081444067,79.6004953126,1.0
33.7282720644,29.7014821038,23.2330822349,50.5921105454,-1.0,-27.2865025166,-23.4417981104,71.0081444067,79.6004953126,1.0
-2.95152312409,-36.0931203446,-20.2089173565,41.4709094351,-1.0,4.00746638501,40.319935009,37.9900826833,55.5429067652,1.0
3.99632325215,40.2119074462,37.8867087278,55.3929775505,1.0,-2.95152312409,-36.0931203446,-20.2089173565,41.4709094351,-1.0
3.99632325215,40.2119074462,37.8867087278,55.3929775505,1.0,-2.94596620156,-36.0207324209,-20.1729558531,41.3899890377,-1.0
4.00746638501,40.319935009,37.9900826833,55.5429067652,1.0,-2.94596620156,-36.0207324209,-20.1729558531,41.3899890377,-1.0
-2.41967842135,-45.4366169222,-103.307506883,112.883980897,1.0,-5.91249753268,30.1024503103,-6.80468337956,31.4233992647,-1.0
-5.91154125884,30.0991731711,-6.80408631492,31.4199506669,-1.0,-2.41967842135,-45.4366169222,-103.307506883,112.883980897,1.0
-5.91154125884,30.0991731711,-6.80408631492,31.4199506669,-1.0,-2.45426578043,-45.9994738175,-104.585525044,114.280874272,1.0
-5.91249753268,30.1024503103,-6.80468337956,31.4233992647,-1.0,-2.45426578043,-45.9994738175,-104.585525044,114.280874272,1.0
20.987725662,8.51319290841,-69.7609431821,73.3454800196,1.0,-19.3115758438,-7.38563530901,25.012103614,32.4515186298,-1.0
-19.6836969476,-7.53269009823,25.4981031154,33.0810183007,-1.0,20.987725662,8.51319290841,-69.7609431821,73.3454800196,1.0
-19.6836969476,-7.53269009823,25.4981031154,33.0810183007,-1.0,21.0461752713,8.53457339828,-69.9473800149,73.5420122874,1.0
-19.3115758438,-7.38563530901,25.012103614,32.4515186298,-1.0,21.0461752713,8.53457339828,-69.9473800149,73.5420122874,1.0
-32.9500113208,-15.821384785,3.99749693612,36.7696968713,1.0,58.1741645372,-42.4604739881,-27.1141883037,76.956582837,-1.0
59.3721836269,-43.3238804117,-27.7121450822,78.549277217,-1.0,-32.9500113208,-15.821384785,3.99749693612,36.7696968713,1.0
59.3721836269,-43.3238804117,-27.7121450822,78.549277217,-1.0,-33.0165861024,-15.8525389812,4.0045037104,36.8435226827,1.0
58.1741645372,-42.4604739881,-27.1141883037,76.956582837,-1.0,-33.0165861024,-15.8525389812,4.0045037104,36.8435226827,1.0
-21.8782420208,37.1913429002,-56.8636275817,71.3816276508,1.0,22.7301885647,-29.3323494076,0.00260512391536,37.1087505103,-1.0
22.7366839707,-29.3408526547,0.00184596506135,37.1194504214,-1.0,-21.8782420208,37.1913429002,-56.8636275817,71.3816276508,1.0
22.7366839707,-29.3408526547,0.00184596506135,37.1194504214,-1.0,-21.7533822383,36.9748604011,-56.5314613464,70.9659582204,1.0
22.7301885647,-29.3323494076,0.00260512391536,37.1087505103,-1.0,-21.7533822383,36.9748604011,-56.5314613464,70.9659582204,1.0
-25.2091725778,3.76855840261,-32.5477951535,41.3409548455,1.0,21.603726233,-2.3824770595,35.039378711,41.2330742031,-1.0
21.5954476686,-2.38182638988,35.0268223001,41.2180288356,-1.0,-25.2091725778,3.76855840261,-32.5477951535,41.3409548455,1.0
21.5954476686,-2.38182638988,35.0268223001,41.2180288356,-1.0,-25.4806095956,3.81148047986,-32.8986927501,41.7866485515,1.0
2.94548062926,0.310965086693,-13.9469117534,14.2583332326,1.0,-25.2091725778,3.76855840261,-32.5477951535,41.3409548455,1.0
2.94548062926,0.310965086693,-13.9469117534,14.2583332326,1.0,21.5954476686,-2.38182638988,35.0268223001,41.2180288356,-1.0
2.94548062926,0.310965086693,-13.9469117534,14.2583332326,1.0,-25.4806095956,3.81148047986,-32.8986927501,41.7866485515,1.0
